,price,buy,sell,volume,v,dv
2020-01-02 10:00:48.016031,295.1,60.0,0.0,60.0,60.0,17706.0
2020-01-02 10:01:59.751600,294.95,0.0,33.0,33.0,33.0,9733.35
2020-01-02 10:04:31.548569,294.75,0.0,113.0,113.0,113.0,33306.75
2020-01-02 10:06:39.158645,294.2,90.0,0.0,90.0,90.0,26478.0
2020-01-02 10:07:58.837489,293.75,0.0,22.0,22.0,22.0,6462.5
2020-01-02 10:10:29.738405,293.8,0.0,2.0,2.0,2.0,587.6
2020-01-02 10:14:05.624438,293.5,0.0,1.0,1.0,1.0,293.5
2020-01-02 10:16:49.086000,293.05,0.0,1.0,1.0,1.0,293.05
2020-01-02 10:18:14.487715,292.65,0.0,24.0,24.0,24.0,7023.599999999999
2020-01-02 10:20:14.183885,292.35,43.0,0.0,43.0,43.0,12571.050000000001
2020-01-02 10:22:06.532298,291.7,0.0,2.0,2.0,2.0,583.4
2020-01-02 10:24:54.962245,291.9,0.0,8.0,8.0,8.0,2335.2
2020-01-02 10:28:12.790599,291.85,0.0,83.0,83.0,83.0,24223.550000000003
2020-01-02 10:30:30.663600,291.5,0.0,106.0,106.0,106.0,30899.0
2020-01-02 10:32:47.767735,291.3,0.0,26.0,26.0,26.0,7573.8
2020-01-02 10:35:11.611742,291.4,4.0,0.0,4.0,4.0,1165.6
2020-01-02 10:37:58.258636,291.95,0.0,5.0,5.0,5.0,1459.75
2020-01-02 10:42:41.760529,291.5,2.0,0.0,2.0,2.0,583.0
2020-01-02 10:47:03.157579,291.25,0.0,63.0,63.0,63.0,18348.75
2020-01-02 10:52:40.880867,291.2,0.0,48.0,48.0,48.0,13977.599999999999
2020-01-02 10:55:56.368985,290.8,2.0,0.0,2.0,2.0,581.6
2020-01-02 11:00:38.178000,291.4,90.0,0.0,90.0,90.0,26225.999999999996
2020-01-02 11:04:19.466138,291.85,3.0,0.0,3.0,3.0,875.5500000000001
2020-01-02 11:07:48.053447,291.9,0.0,37.0,37.0,37.0,10800.3
2020-01-02 11:14:07.058118,291.8,4.0,0.0,4.0,4.0,1167.2
2020-01-02 11:24:57.181781,291.85,10.0,0.0,10.0,10.0,2918.5
2020-01-02 11:29:19.302417,292.2,0.0,11.0,11.0,11.0,3214.2
2020-01-02 11:35:09.696000,292.4,0.0,2.0,2.0,2.0,584.8
2020-01-02 11:40:06.445636,292.55,2.0,0.0,2.0,2.0,585.1
2020-01-02 11:44:29.542500,292.15,0.0,4.0,4.0,4.0,1168.6
2020-01-02 11:52:56.994300,292.1,18.0,0.0,18.0,18.0,5257.8
