iter	Logloss
0	0.6798081513
1	0.6681445489
2	0.6586307319
3	0.650845883
4	0.6439899614
5	0.6359617464
6	0.6275080281
7	0.6239729459
8	0.6192917892
9	0.617440441
10	0.6135254769
11	0.6106983019
12	0.6078959127
13	0.6057187467
14	0.5997197959
15	0.5978474959
16	0.5965423659
17	0.5943538139
18	0.5930142547
19	0.590917178
20	0.5882547127
21	0.5872608001
22	0.5856522757
23	0.5837332698
24	0.5820838488
25	0.5804949983
26	0.5783811523
27	0.5771140918
28	0.5762094082
29	0.5742115136
30	0.5713789942
31	0.5708702258
32	0.5703090974
33	0.5691101205
34	0.5681526895
35	0.5657277812
36	0.5651120077
37	0.5641195666
38	0.5622289483
39	0.5615553928
40	0.5605236042
41	0.5586825576
42	0.5576373305
43	0.554296856
44	0.5537731774
45	0.5525534811
46	0.55133119
47	0.5502290329
48	0.5473769946
49	0.546993085
50	0.5464717688
51	0.5454876543
52	0.5445166685
53	0.5434786835
54	0.5414273057
55	0.5407318689
56	0.5395985358
57	0.5379205723
58	0.5369994681
59	0.5363689393
60	0.5338269565
61	0.5332948352
62	0.532691261
63	0.5320541097
64	0.5313975944
65	0.5307647032
66	0.5302905576
67	0.5296418653
68	0.5292046662
69	0.5286849765
70	0.5284918018
71	0.5279310219
72	0.5262776119
73	0.5256972357
74	0.5246113443
75	0.52364214
76	0.5234418006
77	0.5228373356
78	0.522344407
79	0.5217967559
80	0.5211144865
81	0.5205069233
82	0.5202052331
83	0.5198937446
84	0.5191620585
85	0.5182504039
86	0.5181200845
87	0.5168533726
88	0.5154538626
89	0.5147480855
90	0.5134428006
91	0.5131158984
92	0.5130171423
93	0.5117413293
94	0.5114580347
95	0.5109231638
96	0.5098622906
97	0.5069349653
98	0.5066319195
99	0.5048775072
100	0.5042921738
101	0.5040115514
102	0.5037990128
103	0.5018476304
104	0.5008453525
105	0.5006392039
106	0.5001470498
107	0.4999071692
108	0.4992185486
109	0.4987403365
110	0.4981830034
111	0.495650509
112	0.4950781494
113	0.4933122736
114	0.49233544
115	0.4919969969
116	0.4917456529
117	0.4913308771
118	0.4894648897
119	0.4891775287
120	0.4885844498
121	0.4871659245
122	0.4867309328
123	0.4864027526
124	0.4854721213
125	0.4849461965
126	0.4827880459
127	0.4817161352
128	0.4811945479
129	0.4805981771
130	0.4801235668
131	0.4793367709
132	0.4789462775
133	0.4785313081
134	0.478069052
135	0.4777249159
136	0.4772589419
137	0.4763586346
138	0.4761895098
139	0.4743070631
140	0.4739538647
141	0.4720051933
142	0.4713712951
143	0.4702239812
144	0.4698387549
145	0.4695201792
146	0.4686771504
147	0.4681507996
148	0.4676925712
149	0.4674712412
150	0.4667830466
151	0.4655339945
152	0.4651991919
153	0.4642333569
154	0.4640150865
155	0.463437886
156	0.4613400734
157	0.4602676593
158	0.4591163952
159	0.4591146525
160	0.4584203775
161	0.4576649899
162	0.4570295039
163	0.4567140652
164	0.4563485514
165	0.4559986061
166	0.4556242623
167	0.4541048895
168	0.4530940528
169	0.4519752039
170	0.4513558287
171	0.4504807719
172	0.4498831231
173	0.4489081096
174	0.4486825971
175	0.4481347136
176	0.4476220337
177	0.4461597459
178	0.4456911771
179	0.4451345024
180	0.4445119515
181	0.4439430774
182	0.4435777959
183	0.4422283225
184	0.4418614919
185	0.4414384283
186	0.4411655129
187	0.4405798309
188	0.4401464658
189	0.4397045031
190	0.4392969307
191	0.4390269198
192	0.4387364219
193	0.4385284531
194	0.4380402106
195	0.4371316154
196	0.4363854838
197	0.4357928309
198	0.4353205055
199	0.4349313289
200	0.433585186
201	0.4331578624
202	0.4329691027
203	0.4325149406
204	0.4313747527
205	0.4308975476
206	0.4303787487
207	0.4292542456
208	0.4287281659
209	0.427725888
210	0.4274458079
211	0.4268014919
212	0.4258317842
213	0.4257152132
214	0.424817307
215	0.4242876256
216	0.4241665622
217	0.4239176193
218	0.4235753421
219	0.4234632249
220	0.4228511305
221	0.4223139746
222	0.4217166356
223	0.4213793931
224	0.4210907541
225	0.4209333252
226	0.4208272882
227	0.4203355989
228	0.4191623761
229	0.4190576171
230	0.418623826
231	0.418394673
232	0.4179633217
233	0.416667835
234	0.416284119
235	0.4158957557
236	0.415399845
237	0.4148345339
238	0.4145292032
239	0.4141779025
240	0.413745157
241	0.4132336002
242	0.4128733146
243	0.4118335094
244	0.4115884393
245	0.4111740121
246	0.4098132301
247	0.4094472515
248	0.4089364306
249	0.4085359454
250	0.4077307538
251	0.4075287103
252	0.40585187
253	0.4046535902
254	0.4043907053
255	0.4040498998
256	0.4037229977
257	0.4033243327
258	0.40303337
259	0.402555158
260	0.4022235698
261	0.4019412434
262	0.4010379153
263	0.4000918703
264	0.399576828
265	0.3993055779
266	0.3989576852
267	0.3981177934
268	0.3979112962
269	0.3972208553
270	0.3968172332
271	0.3967382283
272	0.3965466802
273	0.3960562301
274	0.3957042323
275	0.3952589002
276	0.394918056
277	0.3946077681
278	0.3943282689
279	0.3936870899
280	0.3934618485
281	0.3934238564
282	0.3932422613
283	0.3916712256
284	0.3905461803
285	0.3902450322
286	0.3900739323
287	0.3892273406
288	0.3889789786
289	0.3884674218
290	0.3883816783
291	0.3879652372
292	0.3877197024
293	0.3876275687
294	0.3874416748
295	0.3870966093
296	0.386762891
297	0.3864058586
298	0.3860912332
299	0.3857908596
300	0.3855139164
301	0.3847247969
302	0.3845456804
303	0.3844744598
304	0.3830370353
305	0.3828756561
306	0.3826736902
307	0.3824070099
308	0.3823240547
309	0.3820923845
310	0.3814879582
311	0.3810657467
312	0.3809874389
313	0.3809058392
314	0.3801283768
315	0.379796014
316	0.3795815389
317	0.379186282
318	0.3788910206
319	0.3786780559
320	0.3784179981
321	0.3782265274
322	0.378097486
323	0.3780184037
324	0.3779620158
325	0.3776774433
326	0.3770822343
327	0.3765514685
328	0.3764702948
329	0.3761197299
330	0.3758534369
331	0.375526496
332	0.3754535714
333	0.3753849069
334	0.3751598203
