iter	Passed	Remaining
0	2	2435
1	3	1795
2	4	1461
3	5	1271
4	6	1206
5	6	1116
6	7	1070
7	8	1041
8	9	1003
9	9	985
10	10	962
11	11	939
12	12	922
13	13	932
14	13	917
15	14	909
16	15	891
17	16	883
18	17	889
19	17	878
20	18	864
21	19	857
22	19	846
23	20	835
24	21	825
25	21	817
26	22	807
27	23	804
28	23	797
29	24	788
30	25	783
31	25	777
32	26	772
33	26	766
34	27	761
35	28	756
36	28	750
37	29	745
38	30	740
39	30	735
40	31	732
41	31	728
42	32	724
43	33	720
44	33	716
45	34	713
46	35	711
47	35	707
48	36	705
49	36	702
50	37	699
51	38	697
52	38	693
53	39	691
54	40	689
55	40	688
56	41	685
57	42	683
58	42	682
59	43	679
60	43	676
61	44	675
62	45	673
63	45	671
64	46	670
65	47	670
66	47	668
67	48	666
68	49	664
69	49	662
70	50	660
71	51	662
72	52	661
73	52	661
74	53	661
75	54	663
76	55	662
77	55	661
78	56	659
79	57	657
80	57	656
81	58	654
82	59	653
83	59	651
84	60	650
85	61	649
86	61	647
87	62	646
88	62	644
89	63	643
90	64	642
91	64	641
92	65	640
93	66	639
94	67	638
95	67	637
96	68	635
97	68	634
98	69	633
99	70	631
100	70	630
101	71	630
102	72	628
103	72	627
104	73	626
105	74	626
106	74	624
107	75	625
108	76	624
109	77	624
110	77	623
111	78	622
112	79	621
113	79	620
114	80	619
115	81	618
116	81	616
117	82	615
118	82	614
119	83	613
120	84	611
121	84	610
122	85	610
123	86	610
124	87	609
125	87	608
126	88	607
127	88	605
128	89	606
129	90	606
130	91	606
131	92	607
132	93	607
133	93	606
134	94	606
135	95	605
136	95	604
137	96	603
138	97	602
139	97	601
140	98	600
141	99	599
142	99	598
143	100	597
144	101	595
145	101	594
146	102	593
147	102	591
148	103	590
149	103	589
150	104	588
151	105	587
152	105	585
153	106	585
154	107	584
155	107	583
156	108	582
157	109	581
158	109	580
159	110	579
160	111	578
161	111	577
162	112	576
163	112	575
164	113	574
165	114	573
166	115	573
167	115	573
168	116	572
169	117	571
170	117	571
171	118	569
172	119	568
173	119	568
174	120	567
175	120	566
176	121	565
177	122	564
178	122	563
179	123	562
180	124	561
181	124	560
182	125	560
183	126	559
184	126	558
185	127	557
186	128	557
187	128	556
188	129	556
189	130	555
190	131	554
191	131	554
192	132	553
193	132	552
194	133	551
195	134	551
196	135	550
197	135	549
198	136	548
199	137	548
200	137	547
201	138	546
202	138	545
203	139	544
204	140	543
205	140	542
206	141	542
207	142	541
208	142	540
209	143	539
210	144	539
211	144	538
212	145	537
213	146	536
214	146	536
215	147	535
216	148	534
217	148	533
218	149	532
219	149	531
220	150	531
221	151	530
222	152	529
223	152	529
224	153	528
225	154	527
226	154	526
227	155	526
228	156	525
229	156	524
230	157	524
231	158	523
232	158	522
233	159	522
234	160	521
235	160	520
236	161	519
237	162	518
238	162	518
239	163	517
